Type,Category,Title,Author,URL,Description,Topic ID,Rating Avg,Rating Value
Tips,GeneralTip CSITOTW,Formatting output text of results (PRxxxx family of commands) [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week1-formatting-output-text.pdf,This memo outlines some of the options available in ANSYS to produce and to format output listings: (1) the use of the /FORMAT statement with the PRxxxx series of commands and (2) the application of *VWRITE to create custom output.,1,9.772727273,22
Tips,GeneralTip CSITOTW,Mass property calculation methods [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week3-Mass_Calculation_Macros.pdf,This memo covers some ways to determine mass properties of an ANSYS model.,2,9.583333333,12
Tips,GeneralTip CSITOTW,Converting piezoelectric data [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week13_TNT_Conversion_of_Piezoelectric_Material_Data.pdf,"Conversion of material properties of piezoelectric ceramics (such as PZT) has caused many users confusion because of the difference between manufacturer-supplied data and the format required by ANSYS. This memo hopes to clarify this point and to provide users with information on conversion routines.<br><a href=""tips/Week13_TNT_Conversion_of_Piezoelectric_Material_Data.xls"">Accompanying Spreadsheet</a>.",3,9.146341463,41
Tips,GeneralTip CSITOTW,Plotting Entities and Graphs in Multiple Windows [PDF],David Haberman (CSI),http://ansys.net/tips/Week_18_multi-plot.pdf,"ANSYS 5.4 through 5.6 allow users to plot multiple entities (keypoints, lines, areas, volumes, nodes, and elements) in a given window. Prior to ANSYS 5.4, a user was required to plot entities on top of one another, like transparencies. Furthermore, multi-plotting also allows a user to generate graphs. The following memo discusses how the ANSYS multi-plotting feature works.",4,8.75,4
Tips,GeneralTip CSITOTW,Basics of Element Tables in ANSYS [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week25-ETABLE.pdf,Short description on the usage and features of element tables in ANSYS.,5,9.591836735,49
Tips,GeneralTip,Small Pivot Terms,"David Gross (Dominion Engineering, Inc.)",http://ansys.net/?mycat=tnt_gross1,Description of what small pivot terms of the stiffness matrix are during solution.  (From XANSYS posting),6,9.285714286,14
Tips,GeneralTip,PowerGraphics vs. Full Graphics,John Crawford (Honeywell),http://ansys.net/http://www.drd.com/searchable/papers/pg_article/pg_paper.htm,"This article describes the differences and features of PowerGraphics vs. Full Graphics in ANSYS.<br><a href=""tips/powergraphics.pdf"">PDF Version Here</a>.",7,8.888888889,9
Tips,Acoustics,Superelements in acoustic analyses,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon10,Using superelements in acoustic analyses.  (From XANSYS posting),8,7.692307692,13
Tips,APDL CSITOTW,Creating APDL Macros [PDF],Mike Rife (CSI),http://ansys.net/tips/week9-apdl-2.pdf,"The use of the Ansys Parametric Design Language, APDL, to create simple but reusable macros can be a significant time saver. This Tip of the Week will show two examples of macros written for current Ansys users. These macros may be extended or used as templates for future macros.<br><a href=""tips/week9-fins.mac"">Helical fin macro</a> and <a href=""tips/week9-strne.mac"">Strain energy plotting macro</a>.",9,9.666666667,15
Tips Undocu,APDL CSITOTW,Vector operations and commands [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week_15_STI50_TNT_Vector_operations.pdf,"Vector notation/functions in ANSYS allow the user to execute some of these *DO loops in a much more efficient manner. Instead of looping through individual functions, vector functions act upon arrays, resulting in faster execution times.  This memo will provide some basic/introductory examples on the use of *VGET as well as the undocumented vector notation.<br><a href=""?mycat=uf_vector"">HTML Version here</a>.<br><a href=""tips/buildn.inp"">Accompanying input file</a>, <a href=""tips/buildn1.mac"">BUILDN1 macro</a>, and <a href=""tips/buildn2.mac"">BUILDN2 macro</a>.
<p></p>
In the memo, in Section 2, please note that there is a typo.  The section with the following lines:<br>
<tt>
*vget,NARRAY(1,1),node,1,u,x<br>
*vmask,NMASK(1)<br>
*vget,NARRAY(1,2),node,2,u,y<br>
*vmask,NMASK(1)<br>
*vget,NARRAY(1,3),node,3,u,z<br>
</tt>
should be replaced as follows:<br>
<tt>
*vget,NARRAY(1,1),node,1,u,x<br>
*vmask,NMASK(1)<br>
*vget,NARRAY(1,2),node,1,u,y<br>
*vmask,NMASK(1)<br>
*vget,NARRAY(1,3),node,1,u,z<br>
</tt>

",10,8.214285714,14
